CountryName,TotalCases,NewCases,TotalDeath,NewDeath,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathPerM,TotalTests,TestPerM,Population
Cyprus,95307,0,398,0,75466,0,19443,48,78337,327,9071702,7456412,1216631
China,92462,48,4636,0,87163,23,663,17,64,3,160000000,111163,1439323776
Uganda,91355,0,2483,0,71750,0,17122,794,1933,53,1436820,30405,47255917
El Salvador,84144,0,2538,9,75608,0,5998,118,12904,389,1118621,171548,6520745
Cameroon,81871,0,1332,0,78224,0,2315,152,3006,49,1751774,64309,27240016
Vietnam,78269,3898,370,0,13421,0,64478,0,797,4,11890084,121004,98262139
Maldives,76454,0,218,0,73637,0,2599,11,138865,396,1128039,2048883,550563
Luxembourg,73412,103,821,0,71117,128,1474,5,115301,1289,3229426,5072139,636699
Cambodia,71244,825,1222,34,63474,897,6548,0,4200,72,1688435,99538,16962695
Singapore,63924,133,36,0,62587,11,1301,2,10837,6,15248512,2584987,5898873
Rwanda,61375,0,704,0,43924,0,16747,89,4618,53,1939765,145962,13289508
Senegal,55861,1041,1264,8,44611,257,9986,43,3246,73,621872,36140,17207275
Jamaica,51542,0,1167,0,46773,0,3602,16,17326,392,478751,160935,2974809
Ivory Coast,49386,0,324,0,48655,0,407,0,1825,12,755218,27904,27064481
DRC,47404,130,1021,0,29389,0,16994,0,513,11,248256,2686,92417731
Malawi,47265,848,1439,29,36019,227,9807,285,2405,73,316960,16131,19649112
Madagascar,42581,20,939,2,40999,9,643,29,1497,33,223976,7876,28438686
Angola,41405,0,977,0,35082,0,5346,8,1220,29,681443,20079,33938563
Sudan,37138,0,2776,0,30867,0,3495,0,827,62,234414,5218,44925184
Trinidad and Tobago,36884,0,1018,0,30043,0,5823,22,26266,725,257351,183263,1404273
R�union,34615,0,266,0,32036,0,2313,40,38374,295,103924,115208,902052
Cabo Verde,33452,0,297,0,32617,0,538,23,59486,528,194917,346610,562352
Malta,33370,172,420,0,30356,65,2594,1,75364,949,1061236,2396730,442785
Australia,32588,162,916,1,29743,0,1929,18,1263,35,23632836,915586,25811701
French Guiana,29419,0,170,0,9995,0,19254,25,95886,554,313807,1022796,306813
Syria,25853,0,1905,0,21933,0,2015,0,1440,106,103566,5771,17947324
Gabon,25309,0,163,0,25050,0,96,8,11096,71,943371,413592,2280922
Guinea,24823,0,195,0,23719,0,909,24,1838,14,489365,36231,13506792
Suriname,24573,0,626,0,20846,0,3101,29,41496,1057,88301,149113,592175
Mauritania,23223,0,517,0,21085,0,1621,16,4860,108,347460,72721,4778001
Eswatini,21880,0,735,0,19392,0,1753,10,18656,627,242568,206823,1172827
Fiji,21829,468,172,11,5521,792,16136,40,24166,190,286604,317286,903298
Guyana,21733,0,515,0,20009,0,1209,15,27491,651,213349,269871,790558
Haiti,19762,0,523,0,13332,0,5907,0,1711,45,95209,8244,11549005
Mayotte,19465,5,174,0,2964,0,16327,0,69585,622,176919,632461,279731
French Polynesia,19234,0,145,0,18945,0,144,0,68056,513,26355,93252,282622
Guadeloupe,17779,0,238,0,2250,0,15291,23,44426,595,243650,608827,400196
Seychelles,17747,0,89,0,16889,0,769,0,179283,899,21504,217236,98989
Papua New Guinea,17581,0,192,0,17177,0,212,7,1927,21,143990,15779,9125329
Martinique,15612,0,99,0,104,0,15409,1,41637,264,224685,599227,374958
Taiwan,15535,24,784,2,13753,45,998,0,651,33,3438383,144093,23862298
Somalia,15180,18,781,0,7277,0,7122,0,928,48,165035,10089,16358664
Togo,14801,0,140,0,13907,0,754,0,1745,17,389064,45866,8482626
Mali,14527,0,530,0,12868,0,1129,0,696,25,334576,16037,20862962
Andorra,14464,0,127,0,13988,0,349,0,186883,1641,193595,2501357,77396
Tajikistan,14359,0,116,0,13902,0,341,0,1471,12,0,0,9762822
Belize,13893,0,332,0,13201,0,360,2,34285,819,176939,436645,405224
Bahamas,13781,0,274,0,12158,0,1349,13,34695,690,115222,290081,397206
Burkina Faso,13537,0,169,0,13350,0,18,0,629,8,202345,9409,21505015
Congo,13050,0,176,0,11759,0,1115,0,2305,31,158304,27965,5660777
Cura�ao,13038,0,126,0,12302,0,610,4,79114,765,164414,997652,164801
Lesotho,12679,0,357,0,6621,0,5701,0,5869,165,128354,59419,2160161
Hong Kong,11974,2,212,0,11693,3,69,0,1584,28,20432586,2702318,7561132
Djibouti,11628,0,155,0,11466,0,7,0,11592,155,186566,185983,1003132
Aruba,11293,0,109,0,11054,0,130,14,105301,1016,177885,1658679,107245
South Sudan,10917,0,117,0,10514,0,286,0,963,10,174045,15359,11332032
Timor-Leste,10227,0,26,0,9484,0,717,0,7604,19,95046,70673,1344863
Nicaragua,9108,0,194,0,4225,0,4689,0,1358,29,0,0,6707613
Equatorial Guinea,8863,15,123,0,8637,46,103,1,6107,85,171690,118300,1451308
Benin,8324,0,107,0,8125,0,92,5,668,9,604310,48513,12456663
Channel Islands,8240,0,86,0,5022,0,3132,0,46937,490,683444,3893092,175553
Gambia,7161,0,197,0,6080,0,884,3,2878,79,90555,36398,2487932
CAR,7147,0,98,0,6859,0,190,2,1453,20,54814,11145,4918146
Yemen,7003,2,1372,0,4163,1,1468,23,229,45,136319,4467,30516527
Iceland,6967,0,30,0,6652,0,285,1,20278,87,821583,2391242,343580
Eritrea,6480,0,32,0,6201,0,247,0,1801,9,23693,6585,3598123
Sierra Leone,6206,0,117,0,4201,0,1888,0,762,14,160358,19682,8147588
Burundi,6018,0,8,0,773,0,5237,0,491,1,345742,28195,12262346
Niger,5594,0,195,0,5295,0,104,2,223,8,126314,5028,25124488
Saint Lucia,5496,0,87,0,5304,0,105,0,29787,472,58163,315224,184513
Liberia,5396,0,148,0,2715,0,2533,2,1041,29,128246,24745,5182601
San Marino,5099,0,90,0,5002,0,7,0,149944,2647,70326,2068047,34006
Chad,4967,2,174,0,4780,3,13,0,294,10,129733,7667,16920525
Gibraltar,4753,21,94,0,4336,0,323,9,141122,2791,301117,8940529,33680
Laos,4342,223,5,0,2174,0,2163,0,588,1,305013,41292,7386751
Barbados,4319,0,48,0,4098,0,173,0,15010,167,204589,711003,287747
Guinea-Bissau,4117,0,74,0,3756,0,287,4,2041,37,78316,38830,2016879
Comoros,4014,0,147,0,3849,0,18,0,4515,165,0,0,889078
Isle of Man,3424,0,29,0,1638,0,1757,1,40043,339,83753,979476,85508
Mauritius,3181,0,19,0,1854,0,1308,0,2497,15,358675,281535,1273997
Liechtenstein,3073,0,59,0,2995,0,19,2,80352,1543,49126,1284541,38244
New Zealand,2855,20,26,0,2749,2,80,0,571,5,2426356,485067,5002100
Monaco,2757,13,33,0,2617,8,107,3,69736,835,54960,1390161,39535
Sint Maarten,2698,0,34,0,2622,0,42,2,62182,784,35043,807647,43389
Bermuda,2535,0,33,0,2487,0,15,7,40864,532,362535,5844040,62035
Saint Martin,2481,0,38,0,1399,0,1044,7,63034,965,43501,1105208,39360
Turks and Caicos,2461,2,18,0,2404,0,39,0,62670,458,94789,2413838,39269
Bhutan,2458,0,2,0,2181,0,275,0,3149,3,798573,1023072,780564
Sao Tome and Principe,2417,0,37,0,2340,0,40,0,10817,166,14270,63865,223441
St. Vincent Grenadines,2271,0,12,0,2199,0,60,2,20402,108,58809,528326,111312
British Virgin Islands,2210,0,23,0,588,0,1599,27,72595,756,67348,2212266,30443
Caribbean Netherlands,1690,0,17,0,1647,0,26,0,63822,642,12584,475227,26480
Antigua and Barbuda,1277,0,42,0,1225,0,10,1,12927,425,17147,173581,98784
St. Barth,1005,0,1,0,462,0,542,0,101423,101,26385,2662731,9909
Faeroe Islands,958,0,1,0,877,0,80,0,19528,20,354736,7230804,49059
Diamond Princess,712,0,13,0,699,0,0,0,0,0,0,0,0
Cayman Islands,627,0,2,0,618,0,7,0,9424,30,113716,1709116,66535
Saint Kitts and Nevis,560,0,3,0,519,0,38,1,10449,56,24783,462404,53596
Tanzania,509,0,21,0,183,0,305,7,8,0,0,0,61519937
Wallis and Futuna,445,0,7,0,438,0,0,0,40345,635,20508,1859293,11030
Brunei,311,0,3,0,269,0,39,0,704,7,149420,338134,441896
Dominica,209,0,0,0,196,0,13,0,2896,0,20743,287399,72175
Grenada,164,0,1,0,161,0,2,0,1450,9,43173,381815,113073
New Caledonia,131,0,0,0,58,0,73,0,454,0,37633,130493,288392
Anguilla,113,0,0,0,111,0,2,0,7462,0,31656,2090333,15144
Greenland,85,1,0,0,59,1,26,0,1495,0,38720,680803,56874
Falkland Islands,63,0,0,0,63,0,0,0,17568,0,7307,2037646,3586
Macao,56,0,0,0,53,0,3,0,85,0,4604,6990,658659
Vatican City,27,0,0,0,27,0,0,0,33624,0,0,0,803
Saint Pierre Miquelon,26,0,0,0,26,0,0,0,4511,0,6128,1063151,5764
Montserrat,21,0,1,0,19,0,1,0,4204,200,1408,281882,4995
Solomon Islands,20,0,0,0,20,0,0,0,28,0,4500,6387,704580
Western Sahara,10,0,1,0,8,0,1,0,16,2,0,0,612768
MS Zaandam,9,0,2,0,7,0,0,0,0,0,0,0,0
Vanuatu,4,0,1,0,3,0,0,0,13,3,23000,73088,314688
Marshall Islands,4,0,0,0,4,0,0,0,67,0,0,0,59611
Samoa,3,0,0,0,3,0,0,0,15,0,0,0,199805
Saint Helena,2,0,0,0,2,0,0,0,328,0,0,0,6096
Micronesia,1,0,0,0,1,0,0,0,9,0,0,0,116294
