id,What is your gender?,What is your age?,What was the most important consideration for you in choosing this product?,How interested are you in the following benefits,Unnamed 4,Unnamed 5,Unnamed 6
30,Female,74,Positive Reviews,Somewhat uninterested,Very interested,Somewhat uninterested,Somewhat interested
31,Female,56,Design,Very interested,Neutral,Somewhat uninterested,Very interested
32,Female,45,Design,Somewhat interested,Neutral,Very uninterested,Neutral
33,Female,60,Price,Somewhat uninterested,Very interested,Somewhat interested,Neutral
34,Female,46,Design,Neutral,Very uninterested,Somewhat interested,Very interested
35,Male,41,Positive Reviews,Neutral,Somewhat interested,Somewhat interested,Very uninterested
36,Female,34,Personalization,Somewhat interested,Somewhat uninterested,Very uninterested,Somewhat uninterested
37,Female,67,Price,Somewhat interested,Very interested,Very uninterested,Very uninterested
38,Female,16,Design,Very uninterested,Very uninterested,Very uninterested,Very interested
39,Male,70,Personalization,Very interested,Neutral,Very interested,Very interested
40,Female,34,Personalization,Somewhat interested,Very interested,Very uninterested,Neutral
41,Female,73,Positive Reviews,Very uninterested,Very interested,Somewhat interested,Very interested
42,Female,52,Personalization,Neutral,Neutral,Neutral,Neutral
43,Male,73,Personalization,Very uninterested,Somewhat interested,Neutral,Somewhat uninterested
44,Male,31,Design,Very interested,Very uninterested,Somewhat interested,Somewhat interested
45,Female,75,Design,Somewhat interested,Very interested,Somewhat interested,Somewhat uninterested
46,Female,35,Positive Reviews,Very uninterested,Neutral,Very uninterested,Very interested
47,Female,74,Price,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
48,Female,16,Personalization,Very uninterested,Somewhat interested,Neutral,Somewhat uninterested
49,Male,43,Positive Reviews,Somewhat interested,Somewhat uninterested,Very interested,Very interested
50,Female,48,Personalization,Somewhat uninterested,Neutral,Somewhat uninterested,Neutral
51,Female,44,Personalization,Neutral,Very interested,Very interested,Very interested
52,Female,51,Price,Very uninterested,Very interested,Somewhat interested,Somewhat interested
53,Male,74,Personalization,Very interested,Somewhat interested,Somewhat uninterested,Somewhat uninterested
54,Female,32,Design,Very interested,Very interested,Neutral,Very interested
55,Male,45,Price,Somewhat uninterested,Neutral,Neutral,Very uninterested
56,Male,17,Personalization,Very uninterested,Very interested,Neutral,Somewhat uninterested
57,Female,61,Price,Somewhat interested,Very interested,Very uninterested,Neutral
58,Male,60,Positive Reviews,Very uninterested,Very interested,Somewhat uninterested,Neutral
59,Male,69,Design,Very uninterested,Somewhat uninterested,Somewhat interested,Somewhat uninterested
60,Female,30,Design,Neutral,Very uninterested,Very interested,Somewhat uninterested
61,Female,65,Design,Somewhat uninterested,Somewhat uninterested,Somewhat interested,Somewhat interested
62,Female,22,Design,Neutral,Somewhat interested,Very uninterested,Neutral
63,Female,43,Design,Neutral,Somewhat uninterested,Neutral,Very uninterested
64,Female,72,Design,Neutral,Neutral,Somewhat uninterested,Somewhat interested
65,Female,58,Design,Neutral,Neutral,Neutral,Somewhat uninterested
66,Male,47,Positive Reviews,Very interested,Somewhat interested,Somewhat interested,Very uninterested
67,Female,57,Positive Reviews,Very uninterested,Somewhat interested,Somewhat interested,Somewhat interested
68,Male,28,Positive Reviews,Neutral,Neutral,Very uninterested,Neutral
69,Female,72,Price,Somewhat interested,Very uninterested,Neutral,Very interested
70,Male,75,Price,Very interested,Neutral,Neutral,Very interested
71,Female,52,Design,Somewhat uninterested,Very uninterested,Very interested,Very interested
72,Male,50,Personalization,Neutral,Very uninterested,Very interested,Neutral
73,Male,35,Personalization,Neutral,Somewhat uninterested,Somewhat uninterested,Very interested
74,Female,64,Price,Very interested,Somewhat uninterested,Very interested,Neutral
75,Male,47,Price,Neutral,Neutral,Very interested,Very interested
76,Male,35,Personalization,Somewhat uninterested,Very uninterested,Very uninterested,Somewhat uninterested
77,Male,65,Positive Reviews,Very interested,Somewhat uninterested,Neutral,Neutral
78,Female,22,Positive Reviews,Somewhat interested,Very interested,Somewhat uninterested,Very interested
79,Female,53,Positive Reviews,Somewhat uninterested,Somewhat uninterested,Neutral,Neutral
80,Female,46,Design,Very interested,Very interested,Somewhat interested,Neutral
81,Female,46,Design,Very uninterested,Very uninterested,Somewhat uninterested,Very uninterested
82,Female,18,Design,Somewhat uninterested,Very interested,Somewhat interested,Somewhat uninterested
83,Male,23,Positive Reviews,Neutral,Neutral,Somewhat uninterested,Neutral
84,Female,31,Positive Reviews,Somewhat interested,Very uninterested,Somewhat uninterested,Somewhat uninterested
85,Male,63,Design,Neutral,Somewhat interested,Somewhat uninterested,Very interested
86,Male,16,Personalization,Very uninterested,Neutral,Very uninterested,Very uninterested
87,Female,31,Design,Somewhat uninterested,Somewhat uninterested,Somewhat uninterested,Very interested
88,Male,26,Design,Somewhat interested,Very uninterested,Neutral,Neutral
89,Male,47,Personalization,Very uninterested,Somewhat interested,Very uninterested,Somewhat uninterested
90,Male,21,Positive Reviews,Very interested,Very uninterested,Somewhat interested,Very interested
91,Male,49,Price,Very uninterested,Very interested,Somewhat uninterested,Somewhat interested
92,Male,68,Personalization,Neutral,Very interested,Very uninterested,Somewhat uninterested
93,Female,34,Positive Reviews,Somewhat uninterested,Somewhat uninterested,Very uninterested,Very interested
94,Female,21,Personalization,Very uninterested,Very interested,Very interested,Somewhat interested
95,Male,70,Price,Very uninterested,Somewhat uninterested,Somewhat uninterested,Very uninterested
96,Male,49,Positive Reviews,Somewhat uninterested,Somewhat uninterested,Neutral,Very interested
97,Female,34,Price,Somewhat interested,Neutral,Somewhat uninterested,Neutral
98,Female,26,Positive Reviews,Neutral,Very interested,Very uninterested,Somewhat uninterested
99,Male,33,Personalization,Somewhat interested,Neutral,Very interested,Somewhat interested
100,Female,74,Positive Reviews,Very interested,Somewhat uninterested,Neutral,Somewhat interested
101,Male,41,Price,Very uninterested,Somewhat interested,Very interested,Somewhat interested
102,Female,70,Price,Very uninterested,Somewhat uninterested,Somewhat uninterested,Very interested
103,Male,35,Personalization,Somewhat uninterested,Very interested,Very uninterested,Somewhat interested
104,Male,62,Price,Very interested,Somewhat interested,Very interested,Very interested
105,Male,41,Design,Very interested,Neutral,Somewhat uninterested,Somewhat interested
106,Male,53,Personalization,Very uninterested,Neutral,Very interested,Somewhat interested
107,Female,69,Design,Very interested,Neutral,Somewhat uninterested,Neutral
108,Female,26,Personalization,Neutral,Somewhat interested,Very uninterested,Somewhat interested
109,Female,34,Design,Very uninterested,Very uninterested,Very interested,Very interested
110,Male,54,Personalization,Very interested,Very uninterested,Somewhat interested,Somewhat interested
111,Female,38,Positive Reviews,Neutral,Neutral,Very uninterested,Somewhat interested
112,Male,31,Price,Somewhat interested,Very uninterested,Very uninterested,Very uninterested
113,Male,18,Positive Reviews,Neutral,Neutral,Somewhat uninterested,Somewhat interested
114,Male,49,Positive Reviews,Somewhat interested,Somewhat uninterested,Very uninterested,Very interested
115,Female,51,Positive Reviews,Somewhat uninterested,Somewhat interested,Very interested,Neutral
116,Female,55,Price,Very interested,Very interested,Very interested,Somewhat interested
117,Female,29,Design,Very uninterested,Somewhat interested,Very uninterested,Very uninterested
118,Male,30,Price,Somewhat uninterested,Somewhat uninterested,Somewhat interested,Somewhat interested
119,Male,31,Personalization,Very uninterested,Somewhat uninterested,Very interested,Neutral
120,Female,24,Personalization,Very uninterested,Somewhat uninterested,Somewhat uninterested,Somewhat uninterested
121,Female,35,Price,Somewhat uninterested,Somewhat uninterested,Neutral,Somewhat uninterested
122,Male,49,Positive Reviews,Very interested,Neutral,Neutral,Very uninterested
123,Female,62,Design,Very interested,Very uninterested,Neutral,Neutral
124,Female,53,Design,Very uninterested,Somewhat uninterested,Somewhat interested,Neutral
125,Male,32,Design,Somewhat uninterested,Neutral,Somewhat interested,Neutral
126,Male,68,Positive Reviews,Somewhat uninterested,Somewhat uninterested,Somewhat interested,Neutral
127,Male,32,Price,Very interested,Somewhat uninterested,Very interested,Very interested
128,Female,72,Personalization,Somewhat interested,Very uninterested,Very interested,Very interested
129,Male,15,Personalization,Somewhat uninterested,Very interested,Very interested,Very uninterested
130,Male,72,Positive Reviews,Very interested,Neutral,Somewhat uninterested,Very interested
131,Female,22,Positive Reviews,Very interested,Neutral,Somewhat interested,Neutral
132,Female,32,Design,Somewhat uninterested,Very interested,Very uninterested,Neutral
133,Male,37,Design,Somewhat interested,Very interested,Very uninterested,Neutral
134,Male,73,Design,Neutral,Neutral,Somewhat uninterested,Somewhat interested
135,Male,16,Personalization,Very uninterested,Neutral,Neutral,Very interested
136,Female,62,Design,Somewhat interested,Very uninterested,Very uninterested,Somewhat uninterested
137,Male,74,Design,Somewhat uninterested,Neutral,Neutral,Somewhat interested
138,Male,72,Price,Somewhat interested,Somewhat interested,Very uninterested,Somewhat uninterested
139,Male,41,Design,Somewhat interested,Somewhat interested,Somewhat interested,Very uninterested
140,Female,48,Price,Somewhat uninterested,Somewhat uninterested,Very uninterested,Somewhat interested
141,Male,58,Design,Somewhat uninterested,Very uninterested,Neutral,Somewhat uninterested
142,Female,44,Personalization,Somewhat uninterested,Very uninterested,Neutral,Very uninterested
143,Female,60,Price,Somewhat interested,Somewhat uninterested,Neutral,Somewhat interested
144,Female,67,Price,Very uninterested,Very interested,Somewhat interested,Somewhat interested
145,Female,35,Design,Very uninterested,Neutral,Somewhat uninterested,Somewhat uninterested
146,Male,47,Design,Somewhat uninterested,Somewhat uninterested,Very interested,Very uninterested
147,Male,27,Personalization,Very uninterested,Neutral,Very uninterested,Somewhat uninterested
148,Male,38,Price,Very uninterested,Neutral,Neutral,Very uninterested
149,Male,19,Price,Neutral,Somewhat interested,Neutral,Very interested
150,Male,61,Price,Very uninterested,Neutral,Somewhat interested,Somewhat interested
151,Female,39,Positive Reviews,Somewhat uninterested,Somewhat uninterested,Somewhat interested,Somewhat uninterested
152,Male,25,Design,Very interested,Neutral,Somewhat interested,Somewhat uninterested
