id,What is your gender?,What is your age?,What was the most important consideration for you in choosing this product?,Another question 1,Another question 2,Yet another question,Another quality,Another quality 2,Yet another quality
137,Agender,50,,,,,,,
138,Non-binary,53,,,,,,,
139,Male,49,Brand,somewhat likely,somewhat agree,very interested,Price,Design,Positive Reviews
140,Bigender,68,Brand,neutral,neutral,very interested,Price,Design,Positive Reviews
141,Agender,28,,,,,,,
142,Male,43,,,,,,,
143,Genderfluid,17,Brand,very unlikely,somewhat agree,very interested,Price,Design,Positive Reviews
144,Polygender,43,Brand,somewhat unlikely,neutral,very interested,Price,Design,Positive Reviews
145,Female,75,,,,,,,
146,Polygender,72,,,,,,,
147,Genderfluid,21,Brand,somewhat likely,strongly agree,neutral,Price,Design,Positive Reviews
148,Non-binary,78,Brand,somewhat unlikely,strongly disagree,not interested,Price,Design,Positive Reviews
149,Non-binary,40,Brand,somewhat unlikely,somewhat agree,somewhat interested,Price,Design,Positive Reviews
150,Male,74,Brand,neutral,neutral,somewhat interested,Price,Design,Positive Reviews
151,Genderfluid,28,Brand,very unlikely,somewhat agree,not interested,Price,Design,Positive Reviews
152,Genderfluid,37,Brand,somewhat likely,strongly agree,very interested,Price,Design,Positive Reviews
153,Male,42,Brand,very unlikely,strongly disagree,somewhat interested,Price,Design,Positive Reviews
154,Male,49,Brand,somewhat unlikely,somewhat disagree,neutral,Price,Design,Positive Reviews
155,Male,47,,,,,,,
156,Female,68,,,,,,,
157,Female,36,,,,,,,
158,Polygender,16,Brand,very likely,strongly agree,not interested,Price,Design,Positive Reviews
159,Male,33,,,,,,,
160,Polygender,17,,,,,,,
161,Genderqueer,25,Brand,somewhat unlikely,strongly agree,somewhat interested,Price,Design,Positive Reviews
162,Genderfluid,31,,,,,,,
163,Agender,75,Brand,very likely,strongly agree,somewhat interested,Price,Design,Positive Reviews
164,Non-binary,17,,,,,,,
165,Bigender,77,Brand,neutral,strongly agree,somewhat interested,Price,Design,Positive Reviews
166,Genderfluid,72,Brand,neutral,strongly agree,not interested,Price,Design,Positive Reviews
167,Non-binary,30,Brand,neutral,somewhat agree,not interested,Price,Design,Positive Reviews
168,Female,31,,,,,,,
169,Bigender,70,Brand,neutral,somewhat agree,not interested,Price,Design,Positive Reviews
170,Polygender,54,,,,,,,
171,Male,32,Brand,neutral,strongly agree,very interested,Price,Design,Positive Reviews
172,Male,60,Brand,very unlikely,strongly disagree,very interested,Price,Design,Positive Reviews
173,Male,58,,,,,,,
174,Female,44,Brand,neutral,somewhat agree,neutral,Price,Design,Positive Reviews
175,Genderqueer,36,Brand,very unlikely,strongly disagree,very interested,Price,Design,Positive Reviews
176,Female,68,,,,,,,
177,Non-binary,64,,,,,,,
178,Genderfluid,79,Brand,neutral,strongly disagree,neutral,Price,Design,Positive Reviews
179,Female,48,Brand,somewhat likely,neutral,somewhat interested,Price,Design,Positive Reviews
180,Bigender,31,Brand,somewhat likely,strongly disagree,neutral,Price,Design,Positive Reviews
181,Agender,59,,,,,,,
182,Genderfluid,44,Brand,somewhat unlikely,strongly agree,not interested,Price,Design,Positive Reviews
183,Bigender,66,,,,,,,
184,Non-binary,44,Brand,neutral,strongly agree,not interested,Price,Design,Positive Reviews
185,Bigender,38,,,,,,,
186,Genderqueer,77,,,,,,,
187,Non-binary,36,,,,,,,
188,Genderfluid,48,Brand,very unlikely,strongly agree,not interested,Price,Design,Positive Reviews
189,Male,74,Brand,somewhat unlikely,neutral,neutral,Price,Design,Positive Reviews
190,Non-binary,52,,,,,,,
191,Genderfluid,45,,,,,,,
192,Male,71,,,,,,,
193,Genderfluid,59,,,,,,,
194,Non-binary,73,Brand,somewhat likely,strongly agree,somewhat interested,Price,Design,Positive Reviews
195,Male,38,Brand,somewhat unlikely,strongly disagree,not interested,Price,Design,Positive Reviews
196,Polygender,58,Brand,neutral,neutral,somewhat interested,Price,Design,Positive Reviews
197,Agender,47,Brand,very unlikely,somewhat agree,very interested,Price,Design,Positive Reviews
198,Male,25,Brand,very likely,somewhat agree,neutral,Price,Design,Positive Reviews
199,Male,62,,,,,,,
200,Bigender,78,Brand,very unlikely,strongly disagree,somewhat interested,Price,Design,Positive Reviews
201,Genderfluid,53,Brand,somewhat likely,somewhat disagree,very interested,Price,Design,Positive Reviews
202,Bigender,27,,,,,,,
203,Polygender,40,Brand,very unlikely,neutral,neutral,Price,Design,Positive Reviews
204,Male,80,Brand,neutral,neutral,somewhat interested,Price,Design,Positive Reviews
205,Non-binary,77,Brand,somewhat unlikely,somewhat agree,somewhat interested,Price,Design,Positive Reviews
206,Agender,74,Brand,very unlikely,somewhat agree,not interested,Price,Design,Positive Reviews
207,Non-binary,30,Brand,somewhat likely,neutral,not interested,Price,Design,Positive Reviews
208,Agender,27,,,,,,,
209,Polygender,45,Brand,neutral,strongly agree,neutral,Price,Design,Positive Reviews
210,Genderqueer,76,Brand,neutral,neutral,neutral,Price,Design,Positive Reviews
211,Genderfluid,78,,,,,,,
212,Male,33,,,,,,,
213,Polygender,20,Brand,very likely,somewhat disagree,very interested,Price,Design,Positive Reviews
214,Polygender,59,Brand,somewhat likely,neutral,not interested,Price,Design,Positive Reviews
215,Agender,40,Brand,somewhat likely,somewhat disagree,neutral,Price,Design,Positive Reviews
216,Non-binary,17,,,,,,,
217,Male,40,Brand,somewhat unlikely,strongly disagree,neutral,Price,Design,Positive Reviews
218,Bigender,17,Brand,very likely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
219,Agender,21,Brand,somewhat unlikely,somewhat agree,very interested,Price,Design,Positive Reviews
220,Polygender,54,Brand,very unlikely,somewhat disagree,not interested,Price,Design,Positive Reviews
221,Genderfluid,66,Brand,somewhat unlikely,strongly disagree,very interested,Price,Design,Positive Reviews
222,Genderfluid,63,Brand,somewhat likely,somewhat agree,somewhat interested,Price,Design,Positive Reviews
223,Genderfluid,72,,,,,,,
224,Polygender,44,,,,,,,
225,Polygender,42,Brand,neutral,strongly agree,neutral,Price,Design,Positive Reviews
226,Genderfluid,22,,,,,,,
227,Genderfluid,67,,,,,,,
228,Bigender,52,Brand,very unlikely,somewhat disagree,very interested,Price,Design,Positive Reviews
229,Male,62,Brand,neutral,somewhat agree,not interested,Price,Design,Positive Reviews
230,Male,60,Brand,very unlikely,neutral,neutral,Price,Design,Positive Reviews
231,Male,29,,,,,,,
232,Female,49,,,,,,,
233,Genderqueer,42,,,,,,,
234,Non-binary,26,,,,,,,
235,Agender,67,Brand,somewhat likely,somewhat agree,somewhat interested,Price,Design,Positive Reviews
236,Male,31,,,,,,,
237,Polygender,78,Brand,very unlikely,somewhat disagree,neutral,Price,Design,Positive Reviews
238,Male,53,Brand,very unlikely,strongly agree,somewhat interested,Price,Design,Positive Reviews
239,Non-binary,20,Brand,very likely,somewhat agree,very interested,Price,Design,Positive Reviews
240,Polygender,48,Brand,very unlikely,strongly disagree,not interested,Price,Design,Positive Reviews
241,Polygender,24,,,,,,,
242,Female,47,,,,,,,
243,Genderqueer,48,Brand,somewhat unlikely,neutral,somewhat interested,Price,Design,Positive Reviews
244,Genderfluid,26,,,,,,,
245,Female,45,Brand,very unlikely,strongly agree,somewhat interested,Price,Design,Positive Reviews
246,Male,54,,,,,,,
247,Agender,16,Brand,very unlikely,somewhat disagree,neutral,Price,Design,Positive Reviews
248,Genderfluid,61,Brand,somewhat unlikely,strongly disagree,somewhat interested,Price,Design,Positive Reviews
249,Male,33,Brand,very likely,strongly agree,neutral,Price,Design,Positive Reviews
250,Non-binary,48,,,,,,,
251,Genderfluid,18,Brand,neutral,somewhat disagree,neutral,Price,Design,Positive Reviews
252,Non-binary,65,,,,,,,
253,Non-binary,28,,,,,,,
254,Female,42,Brand,very likely,strongly disagree,somewhat interested,Price,Design,Positive Reviews
255,Polygender,56,Brand,neutral,neutral,not interested,Price,Design,Positive Reviews
256,Polygender,67,,,,,,,
257,Female,50,,,,,,,
258,Male,54,,,,,,,
259,Genderfluid,31,Brand,neutral,strongly disagree,neutral,Price,Design,Positive Reviews
260,Male,59,,,,,,,
261,Polygender,36,Brand,somewhat likely,strongly agree,somewhat interested,Price,Design,Positive Reviews
262,Male,78,,,,,,,
263,Genderfluid,38,,,,,,,
264,Bigender,37,,,,,,,
265,Non-binary,68,Brand,very unlikely,neutral,somewhat interested,Price,Design,Positive Reviews
266,Non-binary,70,,,,,,,
267,Non-binary,72,Brand,very likely,strongly agree,somewhat interested,Price,Design,Positive Reviews
268,Female,56,,,,,,,
269,Female,74,Brand,very unlikely,strongly disagree,very interested,Price,Design,Positive Reviews
270,Agender,17,Brand,very likely,somewhat disagree,neutral,Price,Design,Positive Reviews
271,Male,22,Brand,somewhat likely,strongly agree,very interested,Price,Design,Positive Reviews
272,Bigender,41,,,,,,,
273,Genderqueer,25,Brand,somewhat unlikely,somewhat agree,very interested,Price,Design,Positive Reviews
274,Genderfluid,78,,,,,,,
275,Male,25,,,,,,,
276,Non-binary,23,,,,,,,
277,Genderqueer,66,Brand,very unlikely,somewhat disagree,not interested,Price,Design,Positive Reviews
278,Male,38,,,,,,,
279,Genderqueer,55,,,,,,,
280,Male,64,Brand,very unlikely,neutral,not interested,Price,Design,Positive Reviews
281,Bigender,50,Brand,somewhat likely,neutral,very interested,Price,Design,Positive Reviews
282,Non-binary,38,Brand,very likely,somewhat agree,not interested,Price,Design,Positive Reviews
283,Genderqueer,76,,,,,,,
284,Male,44,Brand,somewhat unlikely,neutral,not interested,Price,Design,Positive Reviews
285,Genderqueer,44,Brand,neutral,strongly agree,somewhat interested,Price,Design,Positive Reviews
286,Female,79,,,,,,,
287,Genderqueer,34,,,,,,,
288,Male,70,,,,,,,
289,Genderqueer,49,,,,,,,
290,Non-binary,16,Brand,very unlikely,strongly agree,not interested,Price,Design,Positive Reviews
291,Polygender,43,Brand,very likely,strongly agree,very interested,Price,Design,Positive Reviews
292,Genderfluid,57,Brand,somewhat likely,somewhat agree,somewhat interested,Price,Design,Positive Reviews
293,Male,45,,,,,,,
294,Female,17,,,,,,,
295,Polygender,70,Brand,neutral,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
296,Bigender,79,Brand,very unlikely,strongly agree,somewhat interested,Price,Design,Positive Reviews
297,Agender,44,Brand,somewhat unlikely,neutral,very interested,Price,Design,Positive Reviews
298,Female,68,,,,,,,
299,Female,16,Brand,somewhat unlikely,neutral,not interested,Price,Design,Positive Reviews
300,Genderfluid,39,Brand,somewhat unlikely,strongly disagree,not interested,Price,Design,Positive Reviews
301,Genderfluid,55,Brand,very likely,somewhat disagree,not interested,Price,Design,Positive Reviews
302,Genderfluid,60,,,,,,,
303,Male,34,Brand,somewhat unlikely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
304,Bigender,39,,,,,,,
305,Genderqueer,61,Brand,very likely,somewhat agree,somewhat interested,Price,Design,Positive Reviews
306,Bigender,16,Brand,somewhat unlikely,neutral,somewhat interested,Price,Design,Positive Reviews
307,Non-binary,20,,,,,,,
308,Genderqueer,64,Brand,somewhat unlikely,strongly agree,somewhat interested,Price,Design,Positive Reviews
309,Male,57,,,,,,,
310,Non-binary,33,Brand,very likely,somewhat disagree,not interested,Price,Design,Positive Reviews
311,Genderqueer,73,Brand,somewhat unlikely,somewhat disagree,neutral,Price,Design,Positive Reviews
312,Non-binary,49,,,,,,,
313,Agender,22,Brand,somewhat likely,somewhat disagree,neutral,Price,Design,Positive Reviews
314,Genderfluid,30,,,,,,,
315,Agender,47,,,,,,,
316,Female,32,,,,,,,
317,Genderqueer,30,Brand,neutral,strongly agree,not interested,Price,Design,Positive Reviews
318,Male,49,,,,,,,
319,Male,30,Brand,very likely,strongly agree,not interested,Price,Design,Positive Reviews
320,Genderfluid,18,Brand,very unlikely,neutral,very interested,Price,Design,Positive Reviews
321,Bigender,59,Brand,very likely,somewhat disagree,very interested,Price,Design,Positive Reviews
322,Non-binary,33,Brand,somewhat unlikely,strongly agree,not interested,Price,Design,Positive Reviews
323,Genderqueer,74,,,,,,,
324,Female,80,Brand,very likely,strongly agree,neutral,Price,Design,Positive Reviews
325,Genderqueer,44,Brand,neutral,strongly agree,very interested,Price,Design,Positive Reviews
326,Genderqueer,67,Brand,very unlikely,somewhat agree,somewhat interested,Price,Design,Positive Reviews
327,Male,78,,,,,,,
328,Bigender,44,,,,,,,
329,Female,70,Brand,very likely,strongly disagree,somewhat interested,Price,Design,Positive Reviews
330,Agender,69,Brand,somewhat likely,neutral,neutral,Price,Design,Positive Reviews
331,Male,48,Brand,neutral,strongly agree,very interested,Price,Design,Positive Reviews
332,Male,44,Brand,somewhat unlikely,neutral,not interested,Price,Design,Positive Reviews
333,Non-binary,27,Brand,somewhat likely,neutral,very interested,Price,Design,Positive Reviews
334,Bigender,51,Brand,somewhat likely,neutral,not interested,Price,Design,Positive Reviews
335,Bigender,32,,,,,,,
336,Non-binary,40,Brand,somewhat unlikely,strongly agree,very interested,Price,Design,Positive Reviews
337,Female,35,,,,,,,
338,Non-binary,40,Brand,very unlikely,strongly agree,somewhat interested,Price,Design,Positive Reviews
339,Genderqueer,22,Brand,very likely,somewhat disagree,not interested,Price,Design,Positive Reviews
340,Female,17,,,,,,,
341,Male,32,Brand,very likely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
342,Bigender,74,Brand,very unlikely,strongly agree,somewhat interested,Price,Design,Positive Reviews
343,Non-binary,28,Brand,somewhat likely,somewhat agree,very interested,Price,Design,Positive Reviews
344,Polygender,71,Brand,somewhat likely,strongly disagree,somewhat interested,Price,Design,Positive Reviews
345,Genderqueer,48,,,,,,,
346,Genderqueer,20,Brand,very unlikely,somewhat agree,not interested,Price,Design,Positive Reviews
347,Genderqueer,46,,,,,,,
348,Male,46,,,,,,,
349,Male,44,Brand,very likely,strongly agree,somewhat interested,Price,Design,Positive Reviews
350,Male,62,Brand,somewhat likely,strongly disagree,somewhat interested,Price,Design,Positive Reviews
351,Female,74,,,,,,,
352,Genderfluid,23,,,,,,,
353,Female,32,Brand,somewhat unlikely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
354,Polygender,79,,,,,,,
355,Genderfluid,40,,,,,,,
356,Male,46,,,,,,,
357,Agender,66,Brand,very likely,strongly agree,not interested,Price,Design,Positive Reviews
358,Genderqueer,79,Brand,neutral,neutral,somewhat interested,Price,Design,Positive Reviews
359,Genderfluid,55,,,,,,,
360,Polygender,59,Brand,somewhat likely,somewhat agree,not interested,Price,Design,Positive Reviews
361,Polygender,23,Brand,very unlikely,strongly disagree,very interested,Price,Design,Positive Reviews
362,Agender,78,Brand,very unlikely,neutral,somewhat interested,Price,Design,Positive Reviews
363,Bigender,38,Brand,very likely,strongly disagree,somewhat interested,Price,Design,Positive Reviews
364,Male,21,Brand,very unlikely,strongly disagree,somewhat interested,Price,Design,Positive Reviews
365,Genderfluid,56,Brand,neutral,strongly agree,somewhat interested,Price,Design,Positive Reviews
366,Male,35,,,,,,,
367,Non-binary,68,Brand,very likely,strongly disagree,very interested,Price,Design,Positive Reviews
368,Bigender,30,Brand,neutral,somewhat agree,neutral,Price,Design,Positive Reviews
369,Polygender,42,Brand,very unlikely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
370,Polygender,46,,,,,,,
371,Female,46,,,,,,,
372,Male,77,Brand,very unlikely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
373,Male,42,,,,,,,
374,Bigender,46,Brand,very likely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
375,Non-binary,28,,,,,,,
376,Non-binary,43,Brand,very likely,strongly disagree,neutral,Price,Design,Positive Reviews
377,Bigender,77,Brand,somewhat unlikely,somewhat agree,very interested,Price,Design,Positive Reviews
378,Bigender,19,Brand,somewhat likely,strongly agree,not interested,Price,Design,Positive Reviews
379,Non-binary,72,,,,,,,
380,Non-binary,62,Brand,very unlikely,somewhat agree,somewhat interested,Price,Design,Positive Reviews
381,Female,76,Brand,somewhat likely,strongly disagree,very interested,Price,Design,Positive Reviews
382,Male,66,Brand,somewhat likely,strongly disagree,not interested,Price,Design,Positive Reviews
383,Agender,52,Brand,somewhat likely,somewhat agree,very interested,Price,Design,Positive Reviews
384,Genderqueer,17,,,,,,,
385,Genderfluid,45,Brand,very unlikely,strongly disagree,neutral,Price,Design,Positive Reviews
386,Polygender,59,Brand,very likely,somewhat agree,very interested,Price,Design,Positive Reviews
387,Female,17,,,,,,,
388,Male,27,,,,,,,
389,Non-binary,26,,,,,,,
390,Non-binary,69,Brand,neutral,neutral,very interested,Price,Design,Positive Reviews
391,Non-binary,41,Brand,very unlikely,strongly agree,neutral,Price,Design,Positive Reviews
392,Bigender,18,,,,,,,
393,Agender,32,,,,,,,
394,Polygender,44,,,,,,,
395,Genderqueer,73,Brand,somewhat likely,neutral,not interested,Price,Design,Positive Reviews
396,Bigender,18,,,,,,,
397,Male,47,Brand,somewhat unlikely,neutral,neutral,Price,Design,Positive Reviews
398,Female,63,,,,,,,
399,Bigender,57,Brand,neutral,somewhat agree,neutral,Price,Design,Positive Reviews
400,Bigender,17,,,,,,,
401,Polygender,62,,,,,,,
402,Non-binary,59,Brand,very likely,strongly agree,not interested,Price,Design,Positive Reviews
403,Male,28,Brand,somewhat likely,neutral,neutral,Price,Design,Positive Reviews
404,Female,18,Brand,very likely,strongly disagree,somewhat interested,Price,Design,Positive Reviews
405,Non-binary,49,Brand,somewhat unlikely,neutral,not interested,Price,Design,Positive Reviews
406,Male,19,,,,,,,
407,Female,62,,,,,,,
408,Female,50,Brand,somewhat likely,neutral,very interested,Price,Design,Positive Reviews
409,Male,69,Brand,somewhat unlikely,neutral,not interested,Price,Design,Positive Reviews
410,Genderfluid,51,,,,,,,
411,Agender,76,,,,,,,
412,Bigender,25,Brand,neutral,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
413,Non-binary,80,,,,,,,
414,Genderfluid,61,,,,,,,
415,Polygender,26,Brand,very unlikely,somewhat agree,neutral,Price,Design,Positive Reviews
416,Polygender,16,,,,,,,
417,Genderfluid,60,Brand,somewhat likely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
418,Genderfluid,31,,,,,,,
419,Female,60,,,,,,,
420,Male,79,Brand,somewhat unlikely,strongly disagree,neutral,Price,Design,Positive Reviews
421,Agender,35,Brand,neutral,somewhat agree,very interested,Price,Design,Positive Reviews
422,Male,76,,,,,,,
423,Female,51,,,,,,,
424,Polygender,72,Brand,very unlikely,strongly agree,very interested,Price,Design,Positive Reviews
425,Agender,63,,,,,,,
426,Genderqueer,80,,,,,,,
427,Male,36,,,,,,,
428,Genderfluid,31,Brand,very unlikely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
